iter	Passed	Remaining
0	2	274
1	4	244
2	7	253
3	9	239
4	12	239
5	15	235
6	17	238
7	20	241
8	23	239
9	26	241
10	29	237
11	31	234
12	35	235
13	38	239
14	43	244
15	46	244
16	49	243
17	54	246
18	58	248
19	61	246
20	65	245
21	70	248
22	74	248
23	77	245
24	80	242
25	83	237
26	86	234
27	91	234
28	94	232
29	98	228
30	101	226
31	104	222
32	107	218
33	110	215
34	114	211
35	117	208
36	120	206
37	123	202
38	127	199
39	130	196
40	134	193
41	135	187
42	138	183
43	140	179
44	143	175
45	146	171
46	149	168
47	151	164
48	154	160
49	156	156
50	159	153
51	162	150
52	166	147
53	168	143
54	170	139
55	172	135
56	173	131
57	176	127
58	178	124
59	180	120
60	183	117
61	185	113
62	187	110
63	189	106
64	191	103
65	193	99
66	195	96
67	196	92
68	198	89
69	199	85
70	201	82
71	203	79
72	205	75
73	206	72
74	208	69
75	209	66
76	211	63
77	212	59
78	214	56
79	215	53
80	216	50
81	218	48
82	220	45
83	222	42
84	223	39
85	225	36
86	227	33
87	228	31
88	230	28
89	231	25
90	233	23
91	235	20
92	237	17
93	238	15
94	240	12
95	241	10
96	243	7
97	245	5
98	247	2
99	249	0
